
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:32 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:37 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:42 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:47 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:52 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:33:57 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:02 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:27 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:32 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:37 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:42 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:47 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:52 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:34:57 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:02 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:27 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:32 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:37 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:42 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:47 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:52 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:35:57 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:36:02 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:36:07 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:36:12 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:36:17 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.871 6 25.740	06/08/2011 06:36:22 	-2 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:27 	-7 m			19 m	0:00:05	14 kph	52° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:32 	-8 m			0 m	0:00:05	0 kph	180° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:37 	-8 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:42 	-8 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:47 	-8 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:52 	-8 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.877 6 25.756	06/08/2011 06:36:57 	-8 m			0 m	0:00:05	0 kph	0° true
