
Trackpoint	59 00.894 6 25.825	04/08/2011 05:33:36 	7 m			3 m	0:00:05	2 kph	248° true
Trackpoint	59 00.894 6 25.825	04/08/2011 05:33:41 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.894 6 25.825	04/08/2011 05:33:46 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.891 6 25.813	04/08/2011 05:33:51 	7 m			12 m	0:00:05	9 kph	245° true
Trackpoint	59 00.890 6 25.807	04/08/2011 05:33:56 	8 m			6 m	0:00:05	4 kph	252° true
Trackpoint	59 00.890 6 25.801	04/08/2011 05:34:01 	9 m			6 m	0:00:05	4 kph	259° true
Trackpoint	59 00.888 6 25.795	04/08/2011 05:34:06 	8 m			7 m	0:00:05	5 kph	238° true
Trackpoint	59 00.886 6 25.789	04/08/2011 05:34:11 	6 m			7 m	0:00:05	5 kph	237° true
Trackpoint	59 00.884 6 25.783	04/08/2011 05:34:16 	5 m			6 m	0:00:05	4 kph	243° true
Trackpoint	59 00.882 6 25.777	04/08/2011 05:34:21 	4 m			7 m	0:00:05	5 kph	238° true
Trackpoint	59 00.881 6 25.771	04/08/2011 05:34:26 	4 m			7 m	0:00:05	5 kph	247° true
Trackpoint	59 00.880 6 25.764	04/08/2011 05:34:31 	3 m			7 m	0:00:05	5 kph	248° true
Trackpoint	59 00.878 6 25.758	04/08/2011 05:34:36 	3 m			6 m	0:00:05	5 kph	248° true
Trackpoint	59 00.877 6 25.752	04/08/2011 05:34:41 	3 m			6 m	0:00:05	4 kph	252° true
Trackpoint	59 00.876 6 25.747	04/08/2011 05:34:46 	3 m			6 m	0:00:05	4 kph	249° true
Trackpoint	59 00.875 6 25.741	04/08/2011 05:34:51 	3 m			6 m	0:00:05	4 kph	250° true
Trackpoint	59 00.874 6 25.734	04/08/2011 05:34:56 	4 m			7 m	0:00:05	5 kph	258° true
Trackpoint	59 00.874 6 25.728	04/08/2011 05:35:01 	4 m			6 m	0:00:05	4 kph	269° true
Trackpoint	59 00.876 6 25.722	04/08/2011 05:35:06 	6 m			6 m	0:00:05	5 kph	297° true
Trackpoint	59 00.876 6 25.715	04/08/2011 05:35:11 	6 m			6 m	0:00:05	5 kph	270° true
Trackpoint	59 00.876 6 25.708	04/08/2011 05:35:16 	6 m			7 m	0:00:05	5 kph	266° true
Trackpoint	59 00.876 6 25.701	04/08/2011 05:35:21 	7 m			7 m	0:00:05	5 kph	280° true
Trackpoint	59 00.877 6 25.694	04/08/2011 05:35:26 	8 m			6 m	0:00:05	4 kph	275° true
Trackpoint	59 00.878 6 25.687	04/08/2011 05:35:31 	9 m			7 m	0:00:05	5 kph	285° true
Trackpoint	59 00.878 6 25.680	04/08/2011 05:35:36 	9 m			7 m	0:00:05	5 kph	280° true
Trackpoint	59 00.878 6 25.673	04/08/2011 05:35:41 	8 m			7 m	0:00:05	5 kph	269° true
Trackpoint	59 00.878 6 25.666	04/08/2011 05:35:46 	9 m			7 m	0:00:05	5 kph	264° true
Trackpoint	59 00.878 6 25.659	04/08/2011 05:35:51 	9 m			6 m	0:00:05	5 kph	271° true
Trackpoint	59 00.877 6 25.652	04/08/2011 05:35:56 	9 m			7 m	0:00:05	5 kph	264° true
Trackpoint	59 00.877 6 25.646	04/08/2011 05:36:01 	9 m			6 m	0:00:05	5 kph	259° true
Trackpoint	59 00.876 6 25.639	04/08/2011 05:36:06 	9 m			6 m	0:00:05	4 kph	262° true
Trackpoint	59 00.876 6 25.633	04/08/2011 05:36:11 	9 m			6 m	0:00:05	5 kph	261° true
Trackpoint	59 00.875 6 25.627	04/08/2011 05:36:16 	9 m			6 m	0:00:05	4 kph	258° true
Trackpoint	59 00.875 6 25.626	04/08/2011 05:36:21 	9 m			1 m	0:00:05	0.7 kph	263° true
Trackpoint	59 00.875 6 25.622	04/08/2011 05:36:26 	10 m			4 m	0:00:05	3 kph	270° true
Trackpoint	59 00.874 6 25.616	04/08/2011 05:36:31 	9 m			6 m	0:00:05	4 kph	258° true
Trackpoint	59 00.874 6 25.609	04/08/2011 05:36:36 	8 m			6 m	0:00:05	5 kph	256° true
Trackpoint	59 00.873 6 25.603	04/08/2011 05:36:41 	8 m			6 m	0:00:05	4 kph	258° true
Trackpoint	59 00.872 6 25.597	04/08/2011 05:36:46 	7 m			6 m	0:00:05	4 kph	252° true
Trackpoint	59 00.871 6 25.591	04/08/2011 05:36:51 	6 m			6 m	0:00:05	4 kph	257° true
Trackpoint	59 00.870 6 25.584	04/08/2011 05:36:56 	6 m			7 m	0:00:05	5 kph	254° true
Trackpoint	59 00.869 6 25.576	04/08/2011 05:37:01 	6 m			7 m	0:00:05	5 kph	259° true
