
Trackpoint	58 58.380 5 46.411	03/08/2011 14:34:12 	0 m			24 m	0:00:02	44 kph	96° true
Trackpoint	58 58.378 5 46.449	03/08/2011 14:34:15 	0 m			37 m	0:00:03	44 kph	96° true
Trackpoint	58 58.376 5 46.488	03/08/2011 14:34:18 	0 m			38 m	0:00:03	45 kph	95° true
Trackpoint	58 58.376 5 46.514	03/08/2011 14:34:20 	0 m			24 m	0:00:02	44 kph	94° true
Trackpoint	58 58.374 5 46.552	03/08/2011 14:34:23 	0 m			37 m	0:00:03	44 kph	93° true
Trackpoint	58 58.374 5 46.577	03/08/2011 14:34:25 	0 m			24 m	0:00:02	43 kph	94° true
Trackpoint	58 58.372 5 46.615	03/08/2011 14:34:28 	0 m			36 m	0:00:03	44 kph	96° true
Trackpoint	58 58.370 5 46.640	03/08/2011 14:34:30 	0 m			24 m	0:00:02	43 kph	96° true
Trackpoint	58 58.369 5 46.664	03/08/2011 14:34:32 	0 m			24 m	0:00:02	43 kph	96° true
Trackpoint	58 58.367 5 46.701	03/08/2011 14:34:35 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.365 5 46.738	03/08/2011 14:34:38 	0 m			36 m	0:00:03	43 kph	96° true
Trackpoint	58 58.363 5 46.777	03/08/2011 14:34:41 	0 m			37 m	0:00:03	45 kph	96° true
Trackpoint	58 58.361 5 46.816	03/08/2011 14:34:44 	0 m			37 m	0:00:03	45 kph	96° true
Trackpoint	58 58.360 5 46.841	03/08/2011 14:34:46 	0 m			24 m	0:00:02	44 kph	97° true
Trackpoint	58 58.357 5 46.877	03/08/2011 14:34:49 	0 m			35 m	0:00:03	43 kph	99° true
Trackpoint	58 58.354 5 46.914	03/08/2011 14:34:52 	0 m			35 m	0:00:03	42 kph	98° true
Trackpoint	58 58.351 5 46.952	03/08/2011 14:34:55 	0 m			36 m	0:00:03	44 kph	99° true
Trackpoint	58 58.349 5 46.976	03/08/2011 14:34:57 	0 m			23 m	0:00:02	42 kph	99° true
Trackpoint	58 58.347 5 47.000	03/08/2011 14:34:59 	0 m			24 m	0:00:02	42 kph	100° true
Trackpoint	58 58.343 5 47.035	03/08/2011 14:35:02 	0 m			35 m	0:00:03	41 kph	101° true
Trackpoint	58 58.341 5 47.060	03/08/2011 14:35:04 	0 m			23 m	0:00:02	42 kph	102° true
Trackpoint	58 58.338 5 47.096	03/08/2011 14:35:07 	0 m			36 m	0:00:03	43 kph	99° true
Trackpoint	58 58.336 5 47.121	03/08/2011 14:35:09 	0 m			24 m	0:00:02	42 kph	99° true
Trackpoint	58 58.334 5 47.145	03/08/2011 14:35:11 	0 m			24 m	0:00:02	42 kph	98° true
Trackpoint	58 58.332 5 47.170	03/08/2011 14:35:13 	0 m			24 m	0:00:02	43 kph	97° true
Trackpoint	58 58.331 5 47.195	03/08/2011 14:35:15 	0 m			24 m	0:00:02	43 kph	98° true
Trackpoint	58 58.328 5 47.233	03/08/2011 14:35:18 	0 m			37 m	0:00:03	44 kph	99° true
Trackpoint	58 58.325 5 47.270	03/08/2011 14:35:21 	0 m			36 m	0:00:03	44 kph	99° true
Trackpoint	58 58.321 5 47.306	03/08/2011 14:35:24 	0 m			35 m	0:00:03	42 kph	100° true
Trackpoint	58 58.319 5 47.331	03/08/2011 14:35:26 	0 m			24 m	0:00:02	44 kph	99° true
Trackpoint	58 58.318 5 47.356	03/08/2011 14:35:28 	0 m			24 m	0:00:02	43 kph	98° true
Trackpoint	58 58.315 5 47.393	03/08/2011 14:35:31 	0 m			36 m	0:00:03	43 kph	99° true
Trackpoint	58 58.312 5 47.428	03/08/2011 14:35:34 	0 m			34 m	0:00:03	40 kph	97° true
Trackpoint	58 58.311 5 47.450	03/08/2011 14:35:36 	0 m			22 m	0:00:02	40 kph	98° true
Trackpoint	58 58.308 5 47.486	03/08/2011 14:35:39 	0 m			34 m	0:00:03	41 kph	99° true
Trackpoint	58 58.305 5 47.523	03/08/2011 14:35:42 	0 m			36 m	0:00:03	43 kph	98° true
Trackpoint	58 58.302 5 47.559	03/08/2011 14:35:45 	0 m			35 m	0:00:03	42 kph	99° true
Trackpoint	58 58.300 5 47.583	03/08/2011 14:35:47 	0 m			23 m	0:00:02	42 kph	101° true
Trackpoint	58 58.298 5 47.607	03/08/2011 14:35:49 	0 m			23 m	0:00:02	42 kph	100° true
Trackpoint	58 58.295 5 47.643	03/08/2011 14:35:52 	0 m			35 m	0:00:03	42 kph	99° true
Trackpoint	58 58.293 5 47.667	03/08/2011 14:35:54 	0 m			23 m	0:00:02	42 kph	98° true
Trackpoint	58 58.291 5 47.691	03/08/2011 14:35:56 	0 m			24 m	0:00:02	42 kph	98° true
Trackpoint	58 58.288 5 47.727	03/08/2011 14:35:59 	0 m			35 m	0:00:03	42 kph	99° true
Trackpoint	58 58.285 5 47.764	03/08/2011 14:36:02 	0 m			35 m	0:00:03	42 kph	99° true
Trackpoint	58 58.282 5 47.801	03/08/2011 14:36:05 	0 m			36 m	0:00:03	43 kph	99° true
